"Church Name","District Name",Mainkey,Churchcode,"Church Mail To",ReportStatus,Validate
"Connellsville C&MA Church","Western PA District C&MA",310965,5742190,cmalliance@yahoo.com,Completed,Y
Connexion,"The Alliance Midwest District",321250,1817110,info@danvilleconnexion.org,Completed,Y
"Connexion Church","Ohio Valley District C&MA",305632,2821037,office@connexionfellowship.com,Completed,N
"Conway Alliance Church","Western PA District C&MA",310970,5742195,Info@conwayalliance.org,Completed,Y
"Cordova Neighborhood Church","Central Pacific District C&MA",300803,0606368,office@cnchurch.org,Completed,Y
"Cornerstone Alliance Church","Ohio Valley District C&MA",305894,2839506,marioncma@midohio.twcbc.com,Completed,N
"Cornerstone Alliance Church","Northeastern District C&MA",304623,2436645,ticonderogacma@yahoo.com,Completed,Y
"Cornerstone Alliance Church","Hmong District C&MA",312467,7355350,cstonealliancechurch@yahoo.com,Completed,Y
"Cornerstone Alliance Church","Eastern PA District C&MA",301577,0942540,cornerstonealliancechurch.cma@gmail.com,Completed,Y
"Cornerstone Alliance Church","The Alliance Midwest District",303590,1818735,patandrick260@gmail.com,"Not Started",N
"Cornerstone C&MA Church","MidAmerica District C&MA",310036,5419141,office@boonecornerstone.com,Completed,Y
"Cornerstone C&MA Church","Central District C&MA",300623,0354303,ccc1995@gmail.com,Completed,Y
"Cornerstone Chapel C&MA","Metropolitan District C&MA",302385,1234789,damianmericka@live.com,Completed,Y
"Cornerstone Christian Fellowship","Ohio Valley District C&MA",305871,2839423,ccfhilliard@gmail.com,Completed,N
"Cornerstone Christian Fellowship","South Pacific Alliance",308206,3906350,,Completed,Y
"Cornerstone Community Alliance Church","Hmong District C&MA",339250,7306860,ccacsecretary@gmail.com,Completed,Y
"Cornerstone Community Church","The Alliance Midwest District",710174,1817007,secretary@cornerstonechurchchicago.org,Completed,Y
"Cornerstone Community Church","North Central District C&MA",305057,2727390,office@cornerstonenorthfield.org,Completed,Y
"Cornerstone Community Church","Western Great Lakes District C&MA",310504,5526200,,Completed,Y
"Cornerstone Fellowship","MidAmerica District C&MA",314451,5419750,cornerstonefellowshipshen@gmail.com,Completed,Y
"Corry C&MA Church","Western PA District C&MA",310977,5742200,corryalliance@hotmail.com,Completed,Y
"Coshocton Alliance Church","Central District C&MA",300289,0339263,coshoctoncma@gmail.com,Completed,Y
"Coudersport Alliance Church","Western PA District C&MA",310982,5742205,cmachurch@zitomedia.net,Completed,Y
"Countryside Alliance Church","Eastern PA District C&MA",301304,0942091,dhhickman@epix.net,Completed,Y
"Cranford Alliance Church","Metropolitan District C&MA",302208,1234150,office@cranfordalliance.org,Completed,Y
"Creekside Community Church","North Central District C&MA",314794,2727013,creeksidecma@gmail.com,Completed,Y
"Creekside Community Church","Ohio Valley District C&MA",755336,2821007,meica.bee@gmail.com,Completed,N
"Cresson C&MA Church","Western PA District C&MA",310987,5742210,cressonalliancechurch@verizon.net,Completed,Y
"Cristo Salva Church of the C&MA","Central Pacific District C&MA",778610,0606348,Carlospalacios2410@gmail.com,Completed,Y
"Critchfield C&MA Church","Western PA District C&MA",310991,5742215,critchfield_alliance@yahoo.com,Completed,Y
"Cross & Crown Alliance Church of the C&MA","Hmong District C&MA",312482,7355725,joshuakong12@gmail.com,Completed,Y
"Cross Connections Alliance Church","Western PA District C&MA",311239,5742455,crossconnectionsac@outlook.com,Completed,Y
"Cross Life Church","The Alliance Southeast",711780,4212011,crosslifechurch@gmail.com,Completed,Y
"CrossBridge Alliance Church","Rocky Mountain District C&MA",307195,3356114,office@crossbridgealliance.org,Completed,Y
"Crossbridge Community Church","Metropolitan District C&MA",302451,1234979,info@crossbridgecc.org,Completed,Y
"Crossing Church","MidAmerica District C&MA",309894,5408410,dgarrido@springsgov.com,Completed,Y
"CrossLife Community Church","Mid-Atlantic District C&MA",303009,1551228,info@crosslife.church,Completed,Y
"Crosspoint Alliance Church","North Central District C&MA",305087,2727440,office@crosspointalliance.com,Completed,Y
"CrossPoint Alliance Church","Alliance Northwest District C&MA",306073,3016100,info@crosspointlew.org,Completed,Y
"CrossPoint Alliance Church","Central District C&MA",300297,0339280,office@crosspointac.org,Completed,Y
"Crosspoint Church","South Pacific Alliance",314626,3906761,steve@gotocrosspoint.com,Completed,Y
"Crosspoint Community Church","Western Great Lakes District C&MA",310676,5555800,office@crosspointwi.com,Completed,Y
"CrossPoint Community Church","Great Lakes District C&MA",316410,1039735,office@icrosspoint.com,Completed,Y
"CrossPoint Community Church","Mid-Atlantic District C&MA",302878,1524510,info@crosspointnow.org,"Not Started",N
"Crosspointe Alliance Church","The Alliance South",307592,3637216,office@crosspointeclt.org,Completed,N
Crossroads,"Northeastern District C&MA",304455,2436390,crossroadscmachurch@gmail.com,"Not Started",N
"Crossroads Bible Church","The Alliance South",307299,3613081,xrdchurch@comcast.net,Completed,N
"Crossroads Bible Church","South Pacific Alliance",308495,3935800,office@crossroadsbiblechurch.com,Completed,Y
"Crossroads Church","Mid-Atlantic District C&MA",303058,1551513,crossroadschurchportsmouth@gmail.com,Completed,Y
"Crossroads Church","MidAmerica District C&MA",314682,5419710,rick.gates@cr4u.net,Completed,Y
"Crossroads Church Aiken","The Alliance South",735649,3645018,,Completed,N
"Crossroads Church of the C&MA","Metropolitan District C&MA",302555,1236380,crossroadschurchcma@yahoo.com,Completed,Y
"Crossroads Community Church","Metropolitan District C&MA",777962,1234027,journeytogethernj@gmail.com,Completed,Y
"Crossroads Community Church","Central District C&MA",300405,0339578,office.ccc9018@gmail.com,Completed,Y
"Crossroads Community Church","Alliance New England",303772,2109451,ewosterday@gmail.com,Completed,Y
"Crossroads Fellowship of the C&MA","Ohio Valley District C&MA",314707,2847201,larrykwilliams1@bellsouth.net,Completed,N
"Crossroads Neighborhood Church","Alliance Northwest District C&MA",306335,3053100,staff@crossroadscma.com,Completed,Y
"CrossTown Alliance","Northeastern District C&MA",304662,2436720,info@crosstownalliance.com,Completed,Y
"Crossview Alliance Church","The Alliance South",307628,3637351,office@thecrossviewchurch.org,Completed,N
"Crosswalk Church","Western Great Lakes District C&MA",310687,5555850,office@mycrosswalk.net,Completed,Y
"CrossWay Church","Western Great Lakes District C&MA",310649,5555600,info@crosswayc.org,Completed,Y
"Crosswinds Alliance Church","Western PA District C&MA",310891,5742110,crosswindsalliance@zoominternet.net,Completed,Y
"Crown Alliance Church","Northeastern District C&MA",304302,2436170,crownalliancechurch@gmail.com,Completed,Y
"Curtiss Alliance Church","Western Great Lakes District C&MA",310557,5555252,CurtissAlliance@ServantsofChrist.Us,Completed,Y
"Curwensville C&MA Church","Western PA District C&MA",310995,5742220,alliancechurch@gmail.com,Completed,Y
"DaKnong Bunong Alliance Church","The Alliance South",342981,3637023,hhyn4@aol.com,Completed,N
"Dakota Alliance Church","North Central District C&MA",314338,2746460,dakota.a21@yahoo.com,Completed,Y
"Dallas Alliance Church","Alliance Northwest District C&MA",306126,3041279,dacoffice@dallasalliance.org,Completed,Y
"Danville Alliance Church","The Alliance Midwest District",303257,1817500,office@danvillealliancechurch.com,Completed,Y
"Daybreak Church of the C&MA","Eastern PA District C&MA",301489,0942419,info@daybreakweb.com,Completed,Y
"De Smet Alliance Church","North Central District C&MA",305483,2746152,desmetcma@valleyfibercom.net,Completed,Y
"Delaware County Alliance Church","Ohio Valley District C&MA",774708,2839013,alliancedelco@gmail.com,Completed,N
"Delhi Alliance Church","Northeastern District C&MA",304310,2436175,delhialliancechurch@gmail.com,Completed,Y
"Deltona Alliance Church","The Alliance Southeast",308593,4212138,staff@bragonjesus.org,Completed,Y
"Denver Hmong Alliance Church","Hmong District C&MA",312259,7308350,Denver.hac@gmail.com,Completed,Y
"Desert Road Community Church","South Pacific Alliance",772740,3904008,dv.prosser@gmail.com,Completed,Y
"Destiny Church of the C&MA","Central District C&MA",314448,0339650,veronica@destinyweb.org,Completed,Y
"Detroit Chinese Alliance North","Great Lakes District C&MA",321437,1026650,dcanchurch@gmail.com,Completed,Y
"Detroit Life Church","Central Pacific District C&MA",722186,0606014,detroitlifechurch@gmail.com,Completed,Y
"Dewittville C&MA Church","Northeastern District C&MA",304319,2436190,dewittvillealliancechurch@gmail.com,Completed,Y
"DFW Hmong Alliance Church","Hmong District C&MA",312424,7348200,lorsgrafix@yahoo.com,Completed,Y
"Diamond City Alliance Church","Eastern PA District C&MA",301702,0942730,,Completed,Y
"Discover Church of the C&MA","Eastern PA District C&MA",301306,0942100,wade@discovercma.org,Completed,Y
"Discovery Alliance Church","Rocky Mountain District C&MA",316358,3330523,office@discoveryalliancechurch.com,Completed,Y
"Discovery Christian Community","Central Pacific District C&MA",301219,0649798,john.d.doss@gmail.com,Completed,Y
"Donegal C&MA Church","Western PA District C&MA",311002,5742225,pahoffmeyer1@gmail.com,Completed,Y
"Dongsan Alliance Church","Korean District C&MA",312641,7834300,davidmyoon@hotmail.com,Completed,N
"Dora Lake Alliance","North Central District C&MA",304896,2727090,,Completed,Y
"Dorseyville Alliance Church","Western PA District C&MA",311009,5742230,,Completed,Y
"Dover Alliance Church","Central District C&MA",300302,0339289,dovercma@doveralliance.com,Completed,Y
"Dover Avenue Alliance Church","MidAmerica District C&MA",310117,5419564,office@doverchurch.org,Completed,Y
"Dover Bible Church","The Alliance Midwest District",303276,1817552,,Completed,Y
"Downsville C&MA Church","Northeastern District C&MA",304328,2436200,,Completed,Y
"Doxa Evangelical Alliance Church","The Alliance Southeast",759473,4212043,pastorb0363@aol.com,"Not Started",N
"Dreaming Alliance Church","Korean District C&MA",748180,7806035,chul500123@gmail.com,Completed,N
"DuBois C&MA Church","Western PA District C&MA",311021,5742240,office@duboisalliance.com,Completed,Y
"Eagan Hills Alliance Church","North Central District C&MA",304966,2727243,info@eaganhills.org,Completed,Y
"Eagle Christian Worship Center International","North Central District C&MA",739509,2727023,contact@ecwci.org,Completed,Y
"Eagle Church","The Alliance Midwest District",303522,1818253,info@eaglechurch.com,Completed,Y
"East Bay Alliance Church","Central Pacific District C&MA",300677,0606021,ebaccaleb@gmail.com,Completed,Y
"East Carbon Community Church","Central Pacific District C&MA",301204,0649266,lyndajean56@gmail.com,Completed,Y
"East Gate Alliance Church","Western Great Lakes District C&MA",310593,5555378,cmamarshfield@frontier.com,Completed,Y
"East Hills Alliance Church","Alliance Northwest District C&MA",306409,3053360,office@easthillsalliance.org,Completed,Y
"East Lake Road C&MA Church","Western PA District C&MA",311206,5742425,hello@elrac.info,Completed,Y
"East Lincoln Alliance Church","Western Great Lakes District C&MA",310508,5555042,elac@amerytel.net,Completed,Y
"East Park Church","Alliance Northwest District C&MA",306547,3053725,life@eastpark.org,Completed,Y
"Eastgate Alliance Church","Central District C&MA",300208,0339051,rhrdp@aol.com,Completed,Y
"Eben-Ezer Church C&MA","Metropolitan District C&MA",302279,1234408,churchebenezer@yahoo.com,Completed,Y
"Ebenezer Alliance Church","Spanish Eastern District C&MA",313125,8736420,oasislopez@yahoo.com,Completed,Y
"Ebenezer Church","Central District C&MA",321445,0339185,siyumey01@gmail.com,Completed,Y
"Ebenezer Eritrean Church","Mid-Atlantic District C&MA",341364,1511200,,Completed,N
"Ebenezer First Haitian Alliance Church","The Alliance Southeast",309013,4212745,ebenezeralliance@gmail.com,"Not Started",N
"Ebensburg Crossroads C&MA","Western PA District C&MA",311032,5742247,crossroadscma@verizon.net,Completed,Y
"Echo Alliance Church","North Central District C&MA",304908,2727120,eac@redred.com,Completed,Y
"Eden Cambodian Evangelical Church","Metropolitan District C&MA",311832,1236200,paulchhanngin@gmail.com,Completed,Y
"Edgewater Alliance Church","The Alliance Southeast",308609,4212156,dswift@edgewateralliance.org,Completed,Y
"Edinburg Road Chapel C&MA","Metropolitan District C&MA",302348,1234675,erccma@aol.com,Completed,Y
"Edna Bay Alliance Church","Alliance Northwest District C&MA",306027,3002230,lee2doris@gmail.com,"Not Started",N
"Eglise Evangelique Amour du Christ of the C&MA","Metropolitan District C&MA",323410,1236960,rntotop@gmail.com,Completed,Y
"Eglise Evangelique Haitienne of the C&MA","Metropolitan District C&MA",337129,1236450,josephbonheur@yahoo.com,Completed,Y
"Eglise Haitienne Bethanie C&MA","The Alliance Southeast",711199,4212015,eglisehaitienne@aol.com,Completed,Y
"El Bethel Evangelical Missionary Church","South Pacific Alliance",710643,3904007,abekele77@gmail.com,Completed,Y
"El Oasis","Spanish Eastern District C&MA",324394,8742550,maguelojr@yahoo.com,Completed,Y
"Elim Alliance Church","Metropolitan District C&MA",302656,1236800,glaudisz@gmail.com,Completed,Y
"Elizabethton Alliance Church","The Alliance South",309349,3647240,Louie@all4Jesus.com,Completed,N
"Ellwood City C&MA Church","Western PA District C&MA",311054,5742270,parkalliance@verizon.net,Completed,Y
"Elma C&MA Church","Alliance Northwest District C&MA",306372,3053220,elmacma@reachone.com,"Not Started",N
"Elshaday Evangelical Church","Northeastern District C&MA",775706,2436005,nfitwi96@gmail.com,"Not Started",N
"Elysburg Alliance Church","Eastern PA District C&MA",301386,0942250,ea.church@verizon.net,Completed,Y
"Emmanuel Alliance Church","Hmong District C&MA",742735,7355030,dejtojsiab@hotmail.com,Completed,Y
"Emmanuel Haitian Church Inc","The Alliance South",307357,3613260,emmachurch99@yahoo.com,"Not Started",N
"Emmanuel Mission Church of C&MA","Korean District C&MA",312533,7806110,nymcmoon@hotmail.com,Completed,Y
"Emmaus Alliance Church","The Alliance Southeast",314305,4212141,emmaus49@gmail.com,Completed,Y
"Emporium C&MA Church","Western PA District C&MA",311060,5742275,emporiumalliance@yahoo.com,Completed,Y
"Encounter Church","Central Pacific District C&MA",776122,0606029,info@encounternatomas.org,Completed,Y
"Encuentro Con Jesus Church","The Alliance South",717988,3601011,rclemente_usa@hotmail.com,Completed,N
"Ensley Alliance Church","The Alliance South",309299,3612532,,Completed,N
"Epicenter C&MA Church","Western PA District C&MA",310935,5742160,epicenterclarion@gmail.com,Completed,Y
"Erie Flightpath Fellowship","Western PA District C&MA",311071,5742281,flightpatherie@gmail.com,Completed,Y
"Essex Alliance Church","Alliance New England",304131,2150300,church@essexalliance.org,Completed,Y
"Eternal Hope Ministry Alliance Church","Hmong District C&MA",765769,7355012,ehmachurch@outlook.com,Completed,Y
"Eternal Life Church","Central Pacific District C&MA",713859,0606011,elc.sacramento@gmail.com,Completed,Y
"Eternal Life Church of the C&MA","The Alliance South",725554,3601010,office@eternallifecma.com,Completed,N
"Ethiopian Christian Fellowship Church","Central Pacific District C&MA",314793,0632245,vegasforjesus@yahoo.com,"Not Started",N
"Ethiopian Evangelical Church","Central Pacific District C&MA",774381,0606047,,"Not Started",N
"Ethiopian Evangelical Church","Eastern PA District C&MA",314877,0942549,,Completed,Y
"Ethiopian Evangelical Church of Ambassadors","Alliance Northwest District C&MA",776976,3053014,,"Not Started",N
"Ethiopian Evangelical Church of Charlotte","The Alliance South",759676,3637038,gisrsh@gmail.com,"Not Started",N
"Eugene C&MA Church","Alliance Northwest District C&MA",306132,3041341,gleneac@juno.com,Completed,Y
"Evangelical Christian Alliance Church","Metropolitan District C&MA",302637,1236712,ecac744@yahoo.com,Completed,Y
"Evangelical Golgotha Church","Metropolitan District C&MA",723105,1236011,jeancenat74@yahoo.com,Completed,Y
"Evanston Alliance Church","Rocky Mountain District C&MA",307204,3356256,office@livingthelifetogether.com,Completed,Y
"Ever-Living Word Evangelical Church","Vietnamese District C&MA",723949,8947017,xphan58@yahoo.com,"Not Started",N
"Exit Church","The Alliance Midwest District",314624,1818233,info@exit.church,Completed,Y
"Fair Havens Church C&MA","The Alliance Midwest District",303532,1818330,fairhavenscma@juno.com,Completed,Y
"Fairhaven Church","Ohio Valley District C&MA",305821,2839242,info@fairhavenchurch.org,Completed,N
"Fairlane Alliance Church","Great Lakes District C&MA",301863,1026054,fairlanealliance@gmail.com,Completed,Y
"Fairlawn Community Church of C&MA","Eastern PA District C&MA",301345,0942170,fairlawncc@gmail.com,Completed,Y
"Fairview Alliance Church","Rocky Mountain District C&MA",306993,3330232,FACFairview@gmail.com,Completed,Y
"Faith Alliance Bible Church","The Alliance Midwest District",303204,1817225,faithallianceinfo@gmail.com,Completed,Y
"Faith Alliance Church","Western Great Lakes District C&MA",310537,5555168,faithalliance@faithcmachurch.org,Completed,Y
"Faith Alliance Church","Mid-Atlantic District C&MA",321270,1551328,Office@faithcma.com,Completed,Y
"Faith Alliance Church","Rocky Mountain District C&MA",307105,3330696,office@faithalliancesidney.org,Completed,Y
"Faith Alliance Church","Ohio Valley District C&MA",305912,2839550,trent@faith-alliance.org,Completed,N
"Faith Alliance Church","Alliance New England",303901,2125050,secretary@faithall.org,Completed,Y
"Faith Alliance Church","Mid-Atlantic District C&MA",303076,1551684,secretaryfac@roacoxmail.com,Completed,Y
"Faith Alliance Church","Eastern PA District C&MA",301390,0942255,myfaithalliance@juno.com,Completed,Y
"Faith Alliance Church","Northeastern District C&MA",304205,2436030,office.fac@gmail.com,Completed,Y
"Faith Alliance Church","The Alliance South",307613,3637297,facoffice1309@gmail.com,Completed,N
"Faith Alliance Church of Goldsboro","The Alliance South",307642,3637371,revbenlandes@gmail.com,Completed,N
"Faith Alliance Church of Winthrop","Alliance New England",303858,2123450,pastormurph@msn.com,Completed,Y
"Faith Bible Alliance Church","Western Great Lakes District C&MA",310585,5555360,pastorjeffthrane@gmail.com,Completed,Y
"Faith Bible Church","Central District C&MA",300374,0339484,fbccma@gmail.com,Completed,Y
"Faith Bible Church C&MA","The Alliance Southeast",308807,4212498,faithbiblecma@gmail.com,Completed,Y
"Faith Chapel","Western Great Lakes District C&MA",310566,5555294,office@faithchapelcma.org,Completed,Y
"Faith Chinese Alliance Church","Central Pacific District C&MA",300781,0606293,bk.sovann@gmail.com,Completed,Y
"Faith Christian Fellowship Church","Hmong District C&MA",717820,7341011,tongyang041266@gmail.com,Completed,Y
"Faith Community","South Pacific Alliance",769753,3906047,daveyr1@me.com,Completed,Y
"Faith Community Church","MidAmerica District C&MA",310145,5419728,office@redoakfaith.org,Completed,Y
"Faith Community Church","The Alliance South",746804,3637036,office@faithgarner.org,Completed,N
"Faith Community Church","Ohio Valley District C&MA",314840,2839425,ben.douglass@gmail.com,Completed,N
"Faith Fellowship Alliance Church","Western PA District C&MA",310895,5742115,faith200@zoominternet.net,Completed,Y
"Faith in Christ Hmong Alliance Church","Hmong District C&MA",314677,7355450,FICMAC04@gmail.com,Completed,Y
"Faith Life Christian Center","South Pacific Alliance",723106,3906041,pastorcperez@aol.com,Completed,Y
"Familias Con Destino Comunidad Cristiana","South Pacific Alliance",350102,3906032,pjoeldeleon@yahoo.com,Completed,Y
"Family Alliance Church","Hmong District C&MA",312184,7306325,xf4familyalliance@gmail.com,Completed,Y
"Family Alliance Church of the C&MA","Central District C&MA",300223,0339105,family3137@familyalliancechurch.org,Completed,Y
"Family Bible Church","Great Lakes District C&MA",330988,1026510,jldepoy@comcast.net,Completed,Y
"Family Empowerment Centers Chicago","The Alliance Midwest District",314515,1817097,office@familyempower.org,Completed,Y
"Fathom Church","Mid-Atlantic District C&MA",780151,1524011,info@fathomcma.org,Completed,Y
"Fayette City Alliance Church","Western PA District C&MA",311093,5742305,fcac15438@gmail.com,Completed,Y
"Federal Way Mission Church","Korean District C&MA",791551,7853042,yeondam@hanmail.net,Completed,Y
"Fellowship Alliance Chapel","Metropolitan District C&MA",302259,1234362,info@myfac.org,Completed,Y
"Fellowship Alliance Church","Mid-Atlantic District C&MA",302917,1524583,mdmegary@juno.com,Completed,Y
"Fellowship Alliance Church","Hmong District C&MA",312446,7355200,vyaaj69@yahoo.com,Completed,Y
"Fellowship Alliance Church","Western PA District C&MA",311050,5742265,jon_jennifer.smith@yahoo.com,Completed,Y
"Fellowship Alliance Church","South Pacific Alliance",308493,3935500,kimwinkler48@yahoo.com,Completed,Y
"Fellowship Alliance Church","The Alliance Southeast",308615,4212162,fellowshipalliancechurch@gmail.com,Completed,Y
"Fellowship Alliance Church","Rocky Mountain District C&MA",306989,3330203,cfallsalliance@gmail.com,Completed,Y
"Fellowship Alliance Church","Alliance New England",303837,2123303,kurt@sawyersmaple.com,Completed,Y
"Fellowship Bible Church C&MA","The Alliance Southeast",308811,4212504,fellowshipbiblecma@gmail.com,Completed,Y
"Fellowship Chapel C&MA","The Alliance Midwest District",303185,1817100,secretary@fchapel.com,Completed,Y
"Fellowship Community Church","Alliance South Central",309658,4848575,fccmidland@sbcglobal.net,Completed,Y
"Ferndale Alliance Church","Alliance Northwest District C&MA",306393,3053293,ferndalealliancechurch@outlook.com,Completed,Y
"Fervent Church of the C&MA Inc","Metropolitan District C&MA",302196,1234100,admin@fervent.tv,Completed,Y
"Filipino American Alliance Church","Alliance South Central",309577,4848055,pastor@filamchurch.com,Completed,Y
"Filipino American Bible Church","Central District C&MA",763567,0339006,,Completed,Y
"Filipino Christian Church of the C&MA","Alliance Northwest District C&MA",306492,3053618,ptr_jlangub@yahoo.com,Completed,Y
"First Alliance Church","The Alliance Southeast",308885,4212588,church.firstalliance@gmail.com,Completed,Y
"First Alliance Church","The Alliance South",307310,3613162,firstallianceatl@gmail.com,Completed,N
"First Alliance Church","Ohio Valley District C&MA",305764,2839066,info@bucyrusalliance.com,Completed,N
"First Alliance Church","The Alliance South",307455,3613702,office@firstalliancetoccoa.com,Completed,N
"First Alliance Church","The Alliance South",307656,3637432,1stallch@bellsouth.net,Completed,N
"First Alliance Church","Great Lakes District C&MA",302137,1039748,office@factoledo.org,Completed,Y
"First Alliance Church","Rocky Mountain District C&MA",306949,3330087,info@facbillings.org,Completed,Y
"First Alliance Church","Rocky Mountain District C&MA",307007,3330319,office@firstalliancegf.org,Completed,Y
"First Alliance Church","The Alliance Southeast",308661,4212240,firstalliancehilliard@gmail.com,Completed,Y
"First Alliance Church","The Alliance South",307708,3637621,office@facraleigh.org,Completed,N
"First Alliance Church","Western PA District C&MA",311065,5742280,office@facerie.org,Completed,Y
"First Alliance Church","Ohio Valley District C&MA",305794,2839154,info@firstalliancecolumbus.org,Completed,N
"First Alliance Church","The Alliance South",307679,3637540,office@lexfirstalliance.com,Completed,N
"First Alliance Church","Korean District C&MA",312721,7840501,ukwchong@hotmail.com,"Not Started",N
"First Alliance Church","The Alliance South",307760,3637756,facwsoffice@gmail.com,Completed,N
"First Alliance Church","The Alliance Southeast",308823,4212516,office@firstallianceorlando.org,Completed,Y
"First Alliance Church","Rocky Mountain District C&MA",307012,3330334,firstalliancechurchhardin@gmail.com,Completed,Y
"First Alliance Church","Eastern PA District C&MA",301417,0942300,fac@firstalliancehbg.com,Completed,Y
"First Alliance Church","Ohio Valley District C&MA",305667,2821266,info@faclex.com,Completed,N
"First Alliance Church","The Alliance South",307374,3613351,firstalliancechurch@mediacombb.net,Completed,N
"First Alliance Church","The Alliance Southeast",308702,4212336,church.office@mychurchlakeland.com,Completed,Y
"First Alliance Church","Mid-Atlantic District C&MA",302944,1524780,office@1stalliancechurch.com,Completed,Y
"First Alliance Church of Franklin","The Alliance South",307635,3637364,office@franklincma.com,"Not Started",N
"First Alliance International Church","The Alliance Southeast",308619,4212168,faclauderdale@hotmail.com,Completed,Y
"First Church of the C&MA","Metropolitan District C&MA",302589,1236500,angelortiz@firstchurchnyc.org,Completed,Y
"First Hmong Alliance","Hmong District C&MA",312314,7320600,yeeheu@gmail.com,Completed,Y
"First Hmong Alliance Church","Hmong District C&MA",312230,7306855,isaiahwvang@yahoo.com,Completed,Y
"First Hmong Alliance Church","Hmong District C&MA",312380,7337100,fhac@fhachickory.org,Completed,Y
"First Hmong Alliance Church","Hmong District C&MA",312299,7317825,xffhac@outlook.com,Completed,Y
"First Hmong Missionary Alliance Church","Hmong District C&MA",312496,7355825,singersoung@yahoo.com,Completed,Y
"First Montagnard Alliance of Raleigh","The Alliance South",307713,3637625,yno.buonkrong@yahoo.com,Completed,N
"First Spanish Alliance Church C&MA","The Alliance Southeast",308821,4212513,acmorlandoministerios@gmail.com,Completed,Y
"First United Hmong Alliance Church","Hmong District C&MA",312257,7308100,fuhachurch@gmail.com,Completed,Y
"First Vietnamese Alliance Church","Vietnamese District C&MA",313351,8917300,tuanle210@yahoo.com,Completed,N
"First Vietnamese Alliance Church","Vietnamese District C&MA",313288,8906800,revcuong@hotmail.com,"Not Started",N
"Florence Alliance Church","Ohio Valley District C&MA",305645,2821105,rosebill@aol.com,Completed,N
"Flushing Alliance Church","Central District C&MA",300317,0339323,office@flushingalliance.org,Completed,Y
"Foothills Church","Central Pacific District C&MA",300687,0606024,info@foothillscp.org,Completed,Y
"Forest Alliance Church","Mid-Atlantic District C&MA",303030,1551300,info@forestalliancechurch.org,Completed,Y
"Fort Lee Gospel Church C&MA","Metropolitan District C&MA",302234,1234250,fortleegospel@juno.com,Completed,Y
"Fortine Community Church","Rocky Mountain District C&MA",306997,3330261,fortinechurch@gmail.com,Completed,Y
"Fountain of Grace Church C&MA","The Alliance South",309243,3601680,tony@fountainofgrace.us,Completed,N
"Four Corners Ethiopian Church","Mid-Atlantic District C&MA",755541,1524002,endalks@gmail.com,"Not Started",N
"Franklin C&MA Church","Western PA District C&MA",311097,5742310,secretary@franklinalliancechurch.org,Completed,Y
"Franklinville C&MA Church","Northeastern District C&MA",304359,2436250,franklinvillecma@yahoo.com,Completed,Y
"Frederick Alliance Church","Mid-Atlantic District C&MA",302883,1524540,frederickcma@gmail.com,Completed,Y
"Freedom Alliance Church","Central District C&MA",300333,0339374,iambeorn@aol.com,Completed,Y
"Freedom Church","South Pacific Alliance",722815,3906043,pastorchuckperez@aol.com,Completed,Y
"Fremont Alliance Church","Great Lakes District C&MA",302087,1039330,office@fremontalliance.net,Completed,Y
"Fremont C&MA Church","MidAmerica District C&MA",310356,5431106,office@fremontalliance.org,Completed,Y
"Freshwater Community Church","Central District C&MA",300445,0339680,office@thefreshwater.church,Completed,Y
"Freshwater Community Church of C&MA","North Central District C&MA",305158,2727541,info@freshwaterchurch.org,Completed,Y
"Frewsburg Alliance Church","Northeastern District C&MA",304364,2436255,facministries@gmail.com,Completed,Y
"Friendship Alliance Church","Central District C&MA",300468,0339722,fac1988@gmail.com,Completed,Y
"Friendship Alliance Church","Alliance Northwest District C&MA",306561,3053765,sutcar@outlook.com,Completed,Y
"Friendship Alliance Church","The Alliance South",307400,3613466,stephen.scarrow@gmail.com,Completed,N
"Friendship Alliance Church","The Alliance Southeast",308550,4212048,info@friendshipcma.org,Completed,Y
"Friendship Alliance Church","MidAmerica District C&MA",309933,5408827,pastortoddfac@gmail.com,Completed,Y
"Friendship Bible Church","The Alliance Southeast",308693,4212312,friendshipbiblecma@gmail.com,Completed,Y
"Front Range Alliance Church","MidAmerica District C&MA",309946,5408845,info@frontrangealliance.org,Completed,Y
"Fulton Alliance Church","Northeastern District C&MA",304369,2436260,ginni@fultonalliance.org,Completed,Y
"Fuoss Mills Faith C&MA Church","Western PA District C&MA",311102,5742315,faithalliancechurch@yahoo.com,Completed,Y
"Fusion Miami","The Alliance Southeast",308740,4212396,church@fusionchurch.life,"Not Started",N
"Gaithersburg Chinese Alliance Church","Mid-Atlantic District C&MA",302894,1524562,office@gcacmd.org,Completed,Y
"Galion Alliance Church","Ohio Valley District C&MA",305847,2839346,galionalliance@yahoo.com,Completed,N
"Garland Avenue Alliance Church","Alliance Northwest District C&MA",306532,3053680,info@garlandchurch.org,Completed,Y
"Gateway Alliance Church","Northeastern District C&MA",304599,2436610,info@gatewayalliance.com,Completed,Y
"Gateway Alliance Church","Alliance New England",304057,2133250,dennisjames12@yahoo.com,Completed,Y
"Gateway Church","North Central District C&MA",304913,2727135,info@gatewaychurchMN.com,Completed,Y
"Gateway Fellowship","Central Pacific District C&MA",300842,0606443,connect@gatewayfellowship.net,Completed,Y
"Gather Church","Central Pacific District C&MA",759649,0606007,admin@gatherredding.org,Completed,Y
"Generations Church","Ohio Valley District C&MA",768877,2839007,,"Not Started",N
